item_id,domain,difficulty,question,correct_answer
factual_geo_5_2,factual,5,What is the highest mountain in Oceania?,Puncak Jaya
factual_cul_5_1,factual,5,Who directed the film Sansho the Bailiff (1954)?,Kenji Mizoguchi
factual_geo_5_1,factual,5,What is the third-largest city in Laos by population?,Savannakhet
factual_geo_5_3,factual,5,What is the capital of Comoros?,Moroni
factual_geo_5_5,factual,5,What is the northernmost capital city in the world?,Reykjavik
factual_sci_5_3,factual,5,What is the melting point of tungsten in degrees Celsius?,3422
factual_hist_5_2,factual,5,Who was the first Shogun of the Tokugawa shogunate?,Tokugawa Ieyasu
new_math_0013_d5,math,5,Carlos has 151 books. The cashier mentioned they had sold 28 books earlier that day to someone else. Tom has 2 times as many books as Carlos. How many books do they have together?,453
new_math_0015_d5,math,5,Aisha has $5512. Aisha spends $246 on a bus ticket. Aisha spends $104 on a shirt. Aisha spends $2130 on lunch. The shelf had 30 empty spots where items used to be. How much money does Aisha have left?,3032
new_math_0020_d5,math,5,"Lin types 22 words per minute. On the way there, Lin passed 43 houses. If Lin works for 6 minutes, how many words does Lin type?",132
new_math_0014_d5,math,5,"Lin reads 45 pages per hour. The store also had 35 magazines on display, but Lin didn't buy any. If Lin works for 6 hours, how many pages does Lin read?",270
new_math_0007_d5,math,5,"Marcus earned a total of $10369 over three days. On the first day, Marcus earned $8582. On the second day, Marcus earned $1568. The store's loyalty program showed Marcus had 11 points, which weren't redeemable yet. How much did Marcus earn on the third day?",219
new_math_0010_d5,math,5,Tom starts a small business selling phone cases. The cashier mentioned they had sold 15 phone cases earlier that day to someone else. Tom buys 58 phone cases at $30 each. Tom sells 29 of them at $52 each. Tom also pays $166 in overhead costs. What is Tom's profit?,-398
new_math_0045_d5,math,5,"Sarah earned money over 2 days. The store also had 4 magazines on display, but Sarah didn't buy any. On Monday, Sarah earned $6251. On Tuesday, Sarah earned $5743. How much did Sarah earn in total?",11994
new_math_0024_d5,math,5,"Marcus saves $1447 every week for 6 weeks. During that time, Marcus spends $1144 on a video game. There were 43 items in the clearance bin, but Marcus wasn't interested. During that time, Marcus spends $198 on concert tickets. How much money does Marcus have at the end?",7340
new_math_0004_d5,math,5,"Marcus saves $521 every week for 6 weeks. The store's loyalty program showed Marcus had 15 points, which weren't redeemable yet. During that time, Marcus spends $275 on new shoes. How much money does Marcus have at the end?",2851
new_math_0043_d5,math,5,"Maria wants to buy a guitar that costs $3435. The store's loyalty program showed Maria had 40 points, which weren't redeemable yet. The store is offering a 20% discount today. How much does Maria pay after the discount?",2748
new_math_0037_d5,math,5,Carlos bought 15 rulers and paid $1710 in total. The cashier mentioned they had sold 18 rulers earlier that day to someone else. Each ruler cost the same amount. How much did each ruler cost?,114
new_math_0029_d5,math,5,"Lin reads 87 pages per hour. The store's loyalty program showed Lin had 46 points, which weren't redeemable yet. If Lin works for 2 hours, how many pages does Lin read?",174
new_math_0039_d5,math,5,"David has 2837 mangoes and 8383 oranges. David gives 1259 mangoes to a friend. 33 of the mangoes were slightly bruised, but David kept them all. How many mangoes does David have now?",1578
new_math_0041_d5,math,5,"Omar builds 98 widgets per day. There were 30 items in the clearance bin, but Omar wasn't interested. If Omar works for 2 days, how many widgets does Omar produce?",196
new_math_0042_d5,math,5,"Marcus saves $376 every week for 6 weeks. On the way there, Marcus passed 27 houses. During that time, Marcus spends $241 on new shoes. During that time, Marcus spends $469 on concert tickets. How much money does Marcus have at the end?",1546
new_math_0003_d5,math,5,"Lin has 5037 mangoes and 5839 oranges. Lin gives 1276 mangoes to a friend. Lin's friend had mentioned wanting 10 mangoes, but Lin didn't get any for them. How many mangoes does Lin have now?",3761
new_logic_0015_d5,logic,5,"Gina is a Murnips. All Drazzles are strong. All Murnips are happy. If something is happy, then it is quiet. If something is quiet, then it is friendly. Is Gina friendly?",Yes
new_logic_0039_d5,logic,5,"Hugo is a Fizzgigs. Every Fizzgigs is a Grumpkins. Every Grumpkins is a Drogons. If something is a Tazzles, it might be quiet. Every Drogons is a Kelpoids. Every Kelpoids is a Flimbers. Is Hugo a Flimbers?",Yes
new_logic_0006_d5,logic,5,"Ben is a Vexlings. Every Vexlings is a Drazzles. Every Drazzles is a Flimbers. Every Flimbers is a Blorps. Every Blorps is a Snazzles. If something is a Zephlins, it might be kind. Is Ben a Blorps?",Yes
new_logic_0007_d5,logic,5,Ava is a Drazzles. Every Drazzles is a Blorps. Some Vexlings are quiet. Every Blorps is a Tazzles. Every Tazzles is a Kelpoids. Every Kelpoids is a Murnips. Is Ava a Quibbles?,Cannot be determined
new_logic_0038_d5,logic,5,"Hugo is a Kelpoids. If something is a Drazzles, it might be tall. Every Kelpoids is a Wumpuses. Every Wumpuses is a Drogons. Every Drogons is a Quibbles. Every Quibbles is a Fizzgigs. Is Hugo a Zephlins?",Cannot be determined
new_logic_0014_d5,logic,5,Leo's favorite color is orange. Iris does not like purple or green. Iris's favorite color is yellow. Cora's favorite color is purple. Ora does not like yellow. Hugo enjoys chess. What is Ora's favorite color?,green
new_logic_0002_d5,logic,5,Jake's favorite color is purple. Mina's favorite color is red. Cora does not like green or purple. Ava enjoys gardening. Cora's favorite color is yellow. Gina's favorite color is blue. Dan does not like yellow. What is Dan's favorite color?,green
new_logic_0009_d5,logic,5,Paul's favorite color is blue. Mina does not like purple or green. Mina's favorite color is yellow. Ora does not like orange or purple. Ora's favorite color is green. Noel's favorite color is orange. Iris enjoys gardening. Ava does not like blue. What is Ava's favorite color?,purple
new_logic_0001_d5,logic,5,"Ben is a Wumpuses. If something is a Murnips, it might be happy. All Wumpuses are friendly. If something is friendly, then it is kind. If something is kind, then it is tall. Is Ben wise?",Cannot be determined
new_logic_0019_d5,logic,5,"Kira is a Snazzles. Some Zephlins are happy. All Snazzles are wise. If something is wise, then it is brave. If something is brave, then it is quiet. Is Kira clever?",Cannot be determined
new_logic_0031_d5,logic,5,"Finn is a Snazzles. All Snazzles are brave. If something is brave, then it is strong. Some Murnips are happy. If something is strong, then it is clever. Is Finn clever?",Yes
new_logic_0013_d5,logic,5,Leo's favorite color is purple. Ben does not like orange or purple. Ben's favorite color is red. Finn does not like purple or red. Paul enjoys hiking. Finn's favorite color is orange. Iris's favorite color is green. Dan does not like purple. What is Dan's favorite color?,blue
new_logic_0032_d5,logic,5,"Noel is a Fizzgigs. Every Fizzgigs is a Kelpoids. Every Kelpoids is a Drogons. If something is a Grumpkins, it might be fast. Every Drogons is a Drazzles. Every Drazzles is a Plonkers. Is Noel a Blorps?",Cannot be determined
new_logic_0020_d5,logic,5,All Flimbers are friendly. Ora is a Zephlins. Every Zephlins is a Tazzles. Every Tazzles is a Drogons. Every Drogons is a Snazzles. Every Snazzles is a Drazzles. Is Ora a Murnips?,Cannot be determined
new_math_0000_d6,math,6,"David and Marcus assemble boxes together. The cashier mentioned they had sold 41 items earlier that day to someone else. David can finish 30 per hour and Marcus can finish 58 per hour. They work together for 4 hours. The store's loyalty program showed David had 25 points, which weren't redeemable yet. How many do they complete in total?",352
new_math_0032_d6,math,6,"Sarah wants to buy a guitar that costs $2060. Sarah's friend had mentioned wanting 39 items, but Sarah didn't get any for them. 34 of the items were slightly bruised, but Sarah kept them all. The store is offering a 10% discount today. How much does Sarah pay after the discount?",1854
new_math_0044_d6,math,6,"James has 998 apples and 8827 bananas. On the way there, James passed 5 houses. The shelf had 7 empty spots where apples used to be. James gives 381 apples to a friend. How many apples does James have now?",617
new_math_0021_d6,math,6,"Fatima has 6249 apples and 7204 mangoes. Fatima gives 1011 apples to a friend. The cashier mentioned they had sold 46 apples earlier that day to someone else. Fatima's friend had mentioned wanting 40 apples, but Fatima didn't get any for them. How many apples does Fatima have now?",5238
new_math_0001_d6,math,6,"Alex earned a total of $15927 over three days. The store also had 17 envelopes on display, but Alex didn't buy any. 7 of the items were slightly bruised, but Alex kept them all. On the first day, Alex earned $9222. On the second day, Alex earned $4178. How much did Alex earn on the third day?",2527
new_math_0017_d6,math,6,"Sarah has 7230 oranges and 3977 mangoes. Sarah's friend had mentioned wanting 35 oranges, but Sarah didn't get any for them. Sarah gives 1824 oranges to a friend. The cashier mentioned they had sold 23 oranges earlier that day to someone else. How many oranges does Sarah have now?",5406
new_math_0012_d6,math,6,"Aisha and Kenji assemble boxes together. Aisha can finish 27 per hour and Kenji can finish 25 per hour. There were 12 items in the clearance bin, but Aisha wasn't interested. Aisha noticed that 20 other customers were in the store. They work together for 2 hours. How many do they complete in total?",104
new_math_0003_d6,math,6,"Rachel saves $1906 every week for 5 weeks. During that time, Rachel spends $364 on new shoes. The cashier mentioned they had sold 18 items earlier that day to someone else. During that time, Rachel spends $2237 on a birthday gift. Rachel had 8 coupons in a drawer at home but forgot to bring them. How much money does Rachel have at the end?",6929
new_math_0025_d6,math,6,"Priya has 2139 pears and 656 mangoes. The cashier mentioned they had sold 42 pears earlier that day to someone else. There were 28 items in the clearance bin, but Priya wasn't interested. Priya gives 338 pears to a friend. How many pears does Priya have now?",1801
new_math_0014_d6,math,6,"Fatima starts a small business selling mugs. The shelf had 10 empty spots where mugs used to be. Fatima buys 99 mugs at $33 each. Fatima sells 73 of them at $65 each. On the way there, Fatima passed 49 houses. Fatima also pays $486 in overhead costs. What is Fatima's profit?",992
new_math_0045_d6,math,6,"Tom wants to buy a laptop that costs $9528. On the way there, Tom passed 21 houses. The store is offering a 25% discount today. The cashier mentioned they had sold 47 items earlier that day to someone else. How much does Tom pay after the discount?",7146
new_math_0047_d6,math,6,Nadia bought 18 notebooks and paid $3150 in total. The cashier mentioned they had sold 19 notebooks earlier that day to someone else. Nadia had 20 coupons in a drawer at home but forgot to bring them. Each notebook cost the same amount. How much did each notebook cost?,175
new_math_0023_d6,math,6,"James has 2421 books. The cashier mentioned they had sold 17 books earlier that day to someone else. Nadia has 5 times as many books as James. The store's loyalty program showed James had 25 points, which weren't redeemable yet. How many books do they have together?",14526
new_math_0028_d6,math,6,"Fatima starts a small business selling posters. Fatima buys 91 posters at $52 each. 34 of the posters were slightly bruised, but Fatima kept them all. On the way there, Fatima passed 19 houses. Fatima sells 51 of them at $94 each. Fatima also pays $403 in overhead costs. What is Fatima's profit?",-341
new_math_0040_d6,math,6,Omar goes shopping with $4997. Omar had 4 coupons in a drawer at home but forgot to bring them. Omar buys 6 erasers at $94 each. Omar buys 1 pens at $168 each. Omar noticed that 23 other customers were in the store. Omar buys 2 rulers at $182 each. How much money does Omar have left?,3901
new_math_0037_d6,math,6,"Carlos has 9710 mangoes and 2207 pears. On the way there, Carlos passed 44 houses. Carlos gives 3701 mangoes to a friend. The shelf had 18 empty spots where mangoes used to be. How many mangoes does Carlos have now?",6009
new_logic_0038_d6,logic,6,"All Drogons are wise. Ava is a Wumpuses. All Flimbers are quiet. All Wumpuses are wise. If something is wise, then it is kind. If something is kind, then it is fast. Is Ava friendly?",Cannot be determined
new_logic_0001_d6,logic,6,Kira's favorite color is blue. Finn's favorite color is purple. Ava does not like purple or yellow. Ava's favorite color is orange. Eve enjoys reading. Jake enjoys cooking. Noel's favorite color is red. Dan does not like blue. What is Dan's favorite color?,yellow
new_logic_0036_d6,logic,6,"Some Vexlings are tall. Ava is a Flimbers. All Flimbers are kind. If something is kind, then it is clever. If something is clever, then it is happy. If something is happy, then it is strong. If something is strong, then it is brave. All Kelpoids are clever. Is Ava fast?",Cannot be determined
new_logic_0015_d6,logic,6,"Some Quibbles are happy. Iris is a Fizzgigs. All Fizzgigs are wise. If something is wise, then it is friendly. If something is friendly, then it is brave. All Vexlings are quiet. Is Iris brave?",Yes
new_logic_0002_d6,logic,6,Leo's favorite color is orange. Gina does not like blue or yellow. Gina's favorite color is purple. Iris's favorite color is blue. Paul's favorite color is yellow. Noel enjoys cooking. Ben does not like blue. Dan enjoys painting. What is Ben's favorite color?,green
new_logic_0016_d6,logic,6,Ora enjoys gardening. Eve's favorite color is yellow. Dan enjoys cooking. Cora does not like purple or yellow. Cora's favorite color is blue. Kira does not like green or blue. Kira's favorite color is orange. Iris's favorite color is green. Noel does not like green. What is Noel's favorite color?,purple
new_logic_0012_d6,logic,6,Cora's favorite color is yellow. Jake enjoys chess. Eve enjoys hiking. Leo does not like green or purple. Leo's favorite color is blue. Mina's favorite color is red. Dan does not like yellow or red. Dan's favorite color is purple. Gina does not like purple. What is Gina's favorite color?,green
new_logic_0005_d6,logic,6,Paul enjoys chess. Ben's favorite color is purple. Ava does not like green or purple. Finn enjoys cooking. Ava's favorite color is orange. Kira's favorite color is yellow. Gina's favorite color is blue. Eve does not like purple. What is Eve's favorite color?,green
new_logic_0000_d6,logic,6,Ava enjoys gardening. Cora's favorite color is green. Leo does not like yellow or green. Leo's favorite color is purple. Kira's favorite color is orange. Hugo enjoys painting. Mina's favorite color is yellow. Jake does not like purple. What is Jake's favorite color?,red
new_logic_0011_d6,logic,6,"Finn is a Snazzles. If something is a Drazzles, it might be clever. All Snazzles are wise. If something is wise, then it is happy. Some Drogons are friendly. If something is happy, then it is friendly. Is Finn brave?",Cannot be determined
new_logic_0006_d6,logic,6,Iris enjoys chess. Jake's favorite color is blue. Leo does not like blue or purple. Leo's favorite color is green. Mina does not like green or blue. Mina's favorite color is orange. Hugo enjoys cooking. Kira does not like blue or green. Kira's favorite color is yellow. Ora does not like blue. What is Ora's favorite color?,purple
new_logic_0019_d6,logic,6,Leo's favorite color is yellow. Jake does not like purple or green. Jake's favorite color is blue. Iris's favorite color is green. Finn's favorite color is red. Ava enjoys chess. Hugo enjoys chess. Dan does not like blue. What is Dan's favorite color?,purple
new_logic_0022_d6,logic,6,Ben enjoys painting. Dan's favorite color is yellow. Kira does not like green or yellow. Kira's favorite color is red. Jake's favorite color is blue. Iris does not like orange or red. Gina enjoys chess. Iris's favorite color is green. Cora does not like blue. What is Cora's favorite color?,orange
new_logic_0040_d6,logic,6,Noel's favorite color is orange. Ora enjoys reading. Dan does not like blue or purple. Dan's favorite color is green. Cora's favorite color is purple. Gina's favorite color is red. Finn enjoys reading. Kira does not like orange. What is Kira's favorite color?,blue
new_logic_0018_d6,logic,6,Ava enjoys gardening. Kira's favorite color is yellow. Jake does not like yellow or blue. Jake's favorite color is orange. Ben does not like red or orange. Ben's favorite color is green. Paul enjoys cooking. Noel's favorite color is blue. Mina does not like green. What is Mina's favorite color?,red
new_logic_0032_d6,logic,6,"Dan is a Drogons. Some Plonkers are clever. All Drogons are kind. If something is kind, then it is tall. If something is tall, then it is happy. If something is happy, then it is clever. If something is clever, then it is brave. If something is a Plonkers, it might be fast. Is Dan brave?",Yes
new_logic_0003_d6,logic,6,Gina's favorite color is red. Iris's favorite color is purple. Finn does not like purple or red. Finn's favorite color is green. Hugo enjoys hiking. Noel does not like orange or green. Noel's favorite color is yellow. Ora does not like purple. Jake enjoys cooking. What is Ora's favorite color?,orange
new_logic_0023_d6,logic,6,"Some Vexlings are strong. Iris is a Zephlins. All Zephlins are brave. If something is brave, then it is quiet. If something is quiet, then it is clever. Some Flimbers are happy. If something is clever, then it is friendly. If something is friendly, then it is tall. Is Iris happy?",Cannot be determined
new_logic_0039_d6,logic,6,"Hugo is a Flimbers. All Flimbers are brave. If something is a Vexlings, it might be friendly. If something is brave, then it is kind. If something is kind, then it is quiet. All Quibbles are kind. If something is quiet, then it is tall. If something is tall, then it is clever. Is Hugo clever?",Yes
new_logic_0030_d6,logic,6,Ora's favorite color is green. Hugo does not like orange or green. Ben enjoys gardening. Hugo's favorite color is yellow. Dan does not like red or orange. Dan's favorite color is purple. Cora enjoys cooking. Gina does not like purple or red. Gina's favorite color is orange. Ava does not like green. What is Ava's favorite color?,red
new_logic_0031_d6,logic,6,"Some Drazzles are brave. Leo is a Kelpoids. All Kelpoids are brave. If something is brave, then it is quiet. If something is a Grumpkins, it might be clever. If something is quiet, then it is fast. If something is fast, then it is clever. If something is clever, then it is tall. Is Leo friendly?",Cannot be determined
